LoanID,CopyNo,ISBN,MemberID,CheckedOutDate,DueDate,ReturnedDate
68,144,345476545-5,164,2/25/2017,3/11/2017,8/28/2017
69,657,270233013-4,196,11/21/2014,12/5/2014,11/15/2015
70,59,233884214-6,891,4/10/2016,4/24/2016,9/18/2017
71,80,635126375-1,817,4/11/2016,4/25/2016,7/24/2017
72,974,736045462-X,871,6/19/2017,7/3/2017,10/9/2017
73,241,640020187-4,998,6/17/2015,7/1/2015,7/16/2015
74,632,275850472-3,136,7/29/2015,8/12/2015,6/8/2017
75,311,160984316-9,837,4/9/2017,4/23/2017,9/27/2017
76,335,855138753-7,983,1/25/2015,2/8/2015,7/29/2016
77,416,181523647-7,103,5/28/2016,6/11/2016,4/11/2017
78,94,961994339-2,565,2/10/2016,2/24/2016,11/7/2016
79,268,345163712-X,57,9/1/2016,9/15/2016,2/1/2017
80,463,835960152-6,559,12/11/2015,12/25/2015,8/10/2016
81,282,625007286-1,94,12/12/2014,12/26/2014,8/7/2017
82,859,500157314-9,18,1/14/2015,1/28/2015,10/3/2015
83,365,177512981-0,504,12/24/2016,1/7/2017,7/16/2017
84,571,540500090-6,472,7/8/2016,7/22/2016,2/16/2017
85,898,246689349-5,342,1/24/2016,2/7/2016,5/8/2017
86,192,435531534-7,674,12/26/2016,1/9/2017,6/22/2017
87,29,729559367-5,172,9/9/2016,9/23/2016,4/8/2017
88,950,658136976-4,385,8/14/2016,8/28/2016,4/11/2017
89,643,068611556-2,791,2/26/2015,3/12/2015,12/19/2016
90,704,523368572-8,412,4/15/2017,4/29/2017,10/14/2017
91,723,711151592-7,823,3/27/2016,4/10/2016,6/7/2016
92,472,586721266-1,523,4/13/2017,4/27/2017,8/1/2017
93,476,376102372-3,935,8/11/2017,8/25/2017,8/29/2017
94,736,365469073-4,858,8/16/2015,8/30/2015,6/24/2016
95,544,485390491-3,797,9/13/2016,9/27/2016,7/26/2017
96,980,462166191-4,647,8/20/2015,9/3/2015,5/29/2017
97,983,013816590-4,307,3/4/2016,3/18/2016,12/1/2016
98,129,294882836-8,419,3/24/2017,4/7/2017,6/6/2017
99,480,486703795-8,403,11/21/2014,12/5/2014,7/20/2016
100,820,265209409-2,946,12/27/2015,1/10/2016,1/27/2016
101,672,187664733-7,518,10/6/2016,10/20/2016,2/25/2017
102,162,927728377-7,830,6/8/2015,6/22/2015,6/1/2017
103,42,318889752-9,724,4/3/2016,4/17/2016,5/14/2017
104,932,040893752-1,997,11/30/2016,12/14/2016,3/11/2017
105,98,262041506-3,599,5/29/2016,6/12/2016,5/5/2017
106,190,323390237-9,339,2/10/2015,2/24/2015,9/16/2016
107,963,051200820-5,326,2/16/2015,3/2/2015,8/8/2017
108,664,099868975-0,57,4/10/2017,4/24/2017,4/11/2017
109,981,538837946-9,396,10/21/2017,11/4/2017,10/26/2017
110,355,392834556-7,636,1/16/2015,1/30/2015,8/8/2016
111,907,694447982-6,816,1/22/2017,2/5/2017,8/2/2017
112,472,638340698-1,597,1/15/2016,1/29/2016,10/2/2016
113,147,066006477-4,712,9/24/2016,10/8/2016,10/20/2017
114,714,448022112-3,631,4/27/2016,5/11/2016,4/14/2017
115,483,421025229-8,912,3/17/2015,3/31/2015,3/14/2017
116,670,147676770-X,853,9/5/2017,9/19/2017,10/22/2017
117,628,177398493-4,561,7/1/2016,7/15/2016,10/24/2017
118,667,547355005-3,775,6/21/2015,7/5/2015,2/11/2016
119,961,039997881-X,770,9/17/2017,10/1/2017,10/14/2017
120,658,644966940-3,45,7/16/2017,7/30/2017,7/30/2017
121,920,553170129-2,370,1/3/2015,1/17/2015,4/3/2017
122,487,998995914-5,126,4/22/2015,5/6/2015,1/21/2017
123,522,400933902-0,298,5/19/2016,6/2/2016,8/13/2017
124,581,151779710-1,571,11/5/2017,11/19/2017,11/6/2017
125,176,578869028-5,207,8/16/2017,8/30/2017,9/23/2017
126,475,460912264-2,515,2/24/2015,3/10/2015,9/3/2015
127,997,685932456-2,260,6/10/2015,6/24/2015,5/8/2017
128,110,789422530-4,552,3/16/2017,3/30/2017,10/15/2017
129,650,314170831-2,434,9/24/2015,10/8/2015,10/4/2015
130,226,899039779-0,187,9/15/2015,9/29/2015,10/3/2017
131,309,462718052-7,579,2/14/2017,2/28/2017,2/17/2017
132,714,767373722-1,931,4/5/2017,4/19/2017,9/14/2017
133,183,934331689-5,68,4/9/2017,4/23/2017,7/26/2017
134,251,020170219-3,142,5/21/2017,6/4/2017,8/6/2017
135,842,751966904-1,458,3/3/2015,3/17/2015,10/3/2015
136,204,462698415-0,321,8/5/2015,8/19/2015,1/29/2016
137,757,209299555-3,47,7/20/2015,8/3/2015,11/2/2016
138,611,049587236-9,157,12/1/2014,12/15/2014,10/18/2016
139,140,582887389-X,66,2/12/2017,2/26/2017,7/30/2017
140,828,883764018-8,627,2/14/2015,2/28/2015,4/28/2017
141,612,953889957-1,149,3/30/2015,4/13/2015,12/5/2016
142,985,013393765-8,103,1/28/2015,2/11/2015,10/20/2016
143,975,581954292-4,274,4/5/2016,4/19/2016,6/15/2017
144,482,287025366-4,570,8/31/2015,9/14/2015,1/11/2016
145,361,358709597-3,237,3/22/2016,4/5/2016,11/16/2017
146,771,163663527-X,356,8/3/2017,8/17/2017,8/15/2017
147,530,269968715-4,725,9/5/2016,9/19/2016,12/1/2016
148,147,963758789-6,291,10/25/2016,11/8/2016,4/22/2017
149,349,576340703-2,825,9/21/2016,10/5/2016,9/15/2017
150,986,986557909-X,743,4/9/2015,4/23/2015,10/12/2016
151,263,905578945-3,522,10/31/2015,11/14/2015,3/28/2016
152,953,164026771-9,181,5/11/2016,5/25/2016,7/30/2016
153,842,265868969-1,711,1/30/2017,2/13/2017,2/10/2017
154,378,381785725-X,613,7/19/2015,8/2/2015,3/12/2016
155,203,601968812-7,755,2/9/2016,2/23/2016,5/31/2016
156,660,355639755-2,239,7/23/2017,8/6/2017,8/8/2017
157,224,216724192-5,1000,4/25/2016,5/9/2016,1/21/2017
158,160,225991352-0,753,1/3/2017,1/17/2017,2/16/2017
159,76,653277749-8,40,10/27/2016,11/10/2016,12/14/2016
160,980,642550697-0,551,10/22/2015,11/5/2015,2/25/2017
161,186,381544838-7,853,3/5/2015,3/19/2015,5/3/2015
162,973,270745285-8,53,5/11/2016,5/25/2016,1/22/2017
163,155,497860543-1,396,4/20/2016,5/4/2016,8/4/2016
164,12,672725699-3,98,10/7/2016,10/21/2016,6/23/2017
165,211,425798493-7,446,8/2/2016,8/16/2016,10/20/2016
166,685,486193358-7,667,9/30/2017,10/14/2017,10/28/2017
167,209,794221990-9,266,11/8/2015,11/22/2015,1/20/2016
168,552,634646634-8,682,10/26/2017,11/9/2017,11/3/2017
169,780,188020697-8,143,1/26/2016,2/9/2016,4/28/2016
170,432,904082333-2,657,6/8/2015,6/22/2015,4/26/2017
171,164,173082421-8,127,8/21/2016,9/4/2016,7/31/2017
172,811,518713154-0,424,5/30/2017,6/13/2017,7/7/2017
173,59,164783429-5,764,7/3/2017,7/17/2017,10/25/2017
174,292,820113257-2,637,7/31/2015,8/14/2015,4/24/2016
175,733,609081660-4,966,4/25/2017,5/9/2017,5/16/2017
176,438,536011623-4,50,6/14/2017,6/28/2017,10/29/2017
177,110,767476442-7,89,9/21/2015,10/5/2015,8/1/2017
178,531,802579790-2,890,2/7/2016,2/21/2016,6/1/2017
179,812,832780137-6,110,3/20/2016,4/3/2016,7/8/2016
180,317,613891570-4,75,4/29/2015,5/13/2015,2/15/2016
181,626,653139247-9,777,5/14/2015,5/28/2015,8/17/2016
182,980,748702037-1,55,12/17/2014,12/31/2014,9/29/2015
183,262,643129142-5,392,11/22/2016,12/6/2016,2/20/2017
184,618,793623171-4,564,6/5/2015,6/19/2015,8/10/2017
185,581,335395935-1,268,9/7/2015,9/21/2015,11/19/2015
186,536,928507115-5,164,10/14/2017,10/28/2017,10/25/2017
187,522,321491669-6,31,5/10/2015,5/24/2015,5/22/2016
188,584,023562162-5,124,7/9/2015,7/23/2015,10/5/2017
189,504,561148338-0,490,7/23/2017,8/6/2017,10/29/2017
190,254,336330382-3,380,2/11/2016,2/25/2016,8/21/2016
191,189,556585517-9,215,11/17/2016,12/1/2016,3/25/2017
192,438,148705315-0,590,1/29/2016,2/12/2016,7/21/2016
193,18,468458129-2,484,2/1/2017,2/15/2017,4/14/2017
194,71,033881372-1,784,10/9/2015,10/23/2015,1/14/2016
195,348,516061039-1,122,6/25/2015,7/9/2015,5/16/2016
196,447,340538099-5,148,12/13/2016,12/27/2016,1/23/2017
197,787,738984902-9,919,6/18/2015,7/2/2015,8/7/2015
198,15,018564140-7,157,11/24/2016,12/8/2016,7/20/2017
199,705,009550303-X,906,9/1/2015,9/15/2015,11/8/2017
200,473,610673571-9,589,10/7/2015,10/21/2015,1/30/2016
201,239,225371950-1,94,8/2/2015,8/16/2015,9/24/2017
202,33,077227517-3,502,6/6/2016,6/20/2016,3/12/2017
203,383,376584653-8,258,5/4/2016,5/18/2016,11/15/2016
204,60,777143190-9,609,1/26/2016,2/9/2016,3/22/2016
205,498,891791659-7,616,2/19/2017,3/5/2017,8/12/2017
206,68,303277228-1,18,11/7/2017,11/21/2017,11/7/2017
207,232,701206655-5,699,8/26/2017,9/9/2017,10/20/2017
208,779,822805158-1,129,2/9/2017,2/23/2017,2/14/2017
209,596,923228827-3,884,4/4/2017,4/18/2017,4/25/2017
210,713,229774994-5,580,6/11/2017,6/25/2017,7/5/2017
211,845,856437305-X,943,5/15/2017,5/29/2017,5/19/2017
212,221,241197345-4,331,1/22/2015,2/5/2015,11/28/2015
213,986,779664295-4,967,4/20/2017,5/4/2017,5/14/2017
214,429,433142015-9,957,1/30/2015,2/13/2015,6/30/2016
215,309,011135819-1,658,10/4/2017,10/18/2017,11/8/2017
216,897,950283033-4,408,11/4/2015,11/18/2015,11/9/2017
217,459,334865445-9,324,5/27/2015,6/10/2015,5/22/2016
218,379,964825913-5,710,3/14/2017,3/28/2017,7/27/2017
219,711,556925240-1,288,10/12/2017,10/26/2017,10/24/2017
220,265,014542828-1,581,6/1/2015,6/15/2015,10/13/2017
221,704,960864289-2,385,7/22/2016,8/5/2016,7/9/2017
222,605,335338741-2,499,8/8/2015,8/22/2015,10/22/2017
223,96,083409725-7,15,12/7/2016,12/21/2016,10/22/2017
224,570,707483613-3,116,8/12/2015,8/26/2015,8/11/2016
225,578,844210716-9,546,11/11/2016,11/25/2016,2/18/2017
226,879,064065889-X,17,7/20/2017,8/3/2017,9/1/2017
227,627,107941486-X,134,12/16/2015,12/30/2015,10/23/2016
228,463,048067978-9,906,3/14/2017,3/28/2017,9/6/2017
229,620,139290242-8,821,7/6/2015,7/20/2015,7/11/2015
230,245,874010376-5,274,3/11/2017,3/25/2017,5/15/2017
231,488,101833665-6,601,10/12/2015,10/26/2015,5/16/2017
232,471,671275354-6,109,6/17/2016,7/1/2016,10/27/2016
233,129,772626880-8,850,12/6/2015,12/20/2015,6/19/2017
234,333,853988946-3,341,3/17/2015,3/31/2015,3/20/2017
235,675,420047784-X,249,3/19/2016,4/2/2016,8/11/2016
236,893,755785169-2,644,12/18/2016,1/1/2017,7/16/2017
237,509,727264908-9,553,11/24/2015,12/8/2015,3/12/2016
238,980,828914806-2,402,12/4/2015,12/18/2015,12/18/2015
239,63,536121824-3,113,2/3/2015,2/17/2015,12/14/2016
240,201,317222265-9,666,5/22/2017,6/5/2017,7/12/2017
241,179,680217104-X,453,12/23/2014,1/6/2015,6/8/2016
242,673,936259334-3,309,11/21/2014,12/5/2014,1/5/2017
243,792,906420111-0,499,10/31/2017,11/14/2017,11/12/2017
244,114,230449325-4,145,11/6/2017,11/20/2017,11/14/2017
245,860,145871699-6,593,8/13/2017,8/27/2017,11/16/2017
246,357,298584295-6,475,1/6/2015,1/20/2015,11/18/2016
247,384,504359263-X,365,10/9/2015,10/23/2015,3/20/2017
248,67,891085802-8,367,10/27/2016,11/10/2016,5/9/2017
249,220,816248621-6,630,9/3/2016,9/17/2016,8/21/2017
250,424,224252982-X,269,6/20/2017,7/4/2017,7/15/2017
251,770,193402297-7,315,5/30/2017,6/13/2017,10/27/2017
252,244,684828047-X,551,7/11/2017,7/25/2017,7/27/2017
253,98,144437858-9,216,11/23/2016,12/7/2016,3/24/2017
254,579,372371010-7,360,3/29/2015,4/12/2015,6/22/2015
255,268,527438147-2,758,8/20/2015,9/3/2015,3/15/2016
256,176,573964985-4,996,5/14/2016,5/28/2016,3/10/2017
257,224,505131879-7,937,3/17/2017,3/31/2017,11/2/2017
258,644,047748981-8,799,8/2/2017,8/16/2017,10/16/2017
259,180,214055377-2,971,4/16/2016,4/30/2016,11/10/2017
260,856,391780378-X,305,7/30/2017,8/13/2017,10/17/2017
261,712,852152176-6,648,3/25/2015,4/8/2015,11/6/2015
262,927,101173830-9,8,2/15/2017,3/1/2017,4/30/2017
263,787,300061538-5,706,1/8/2017,1/22/2017,11/6/2017
264,69,682109843-3,376,12/4/2015,12/18/2015,1/16/2016
265,921,596295123-9,474,1/15/2016,1/29/2016,12/15/2016
266,747,264988162-3,457,5/14/2016,5/28/2016,10/10/2016
267,853,077426699-6,308,10/25/2017,11/8/2017,11/16/2017
268,938,691117790-1,345,8/24/2017,9/7/2017,11/6/2017
269,55,154353952-1,634,6/8/2017,6/22/2017,6/18/2017
270,287,055471655-0,623,6/14/2016,6/28/2016,9/26/2017
271,917,893281131-8,309,1/18/2016,2/1/2016,4/21/2016
272,354,826332543-9,955,6/15/2016,6/29/2016,10/26/2016
273,772,806869962-7,529,1/1/2016,1/15/2016,11/16/2017
274,229,662235100-7,70,3/31/2015,4/14/2015,12/8/2015
275,344,956560766-7,159,8/5/2016,8/19/2016,2/17/2017
276,920,007819031-2,821,7/4/2015,7/18/2015,7/7/2016
277,118,858044022-X,483,12/25/2016,1/8/2017,5/12/2017
278,990,009293364-5,191,2/12/2015,2/26/2015,1/26/2017
279,732,854367566-9,764,7/24/2016,8/7/2016,4/18/2017
280,230,992060011-3,196,3/20/2015,4/3/2015,4/3/2016
281,882,107505172-X,460,5/25/2015,6/8/2015,1/29/2017
282,250,257832875-7,475,4/3/2017,4/17/2017,8/3/2017
283,806,043918489-4,304,9/8/2017,9/22/2017,10/11/2017
284,289,104330610-2,135,11/6/2015,11/20/2015,1/29/2017
285,446,696572590-7,488,1/13/2016,1/27/2016,4/26/2016
286,118,927204964-4,835,7/4/2015,7/18/2015,4/23/2017
287,72,362758252-7,413,1/28/2016,2/11/2016,2/5/2016
288,205,770470070-7,613,5/14/2017,5/28/2017,7/18/2017
289,229,605768438-9,968,3/15/2016,3/29/2016,8/28/2016
290,680,401157021-4,550,12/24/2015,1/7/2016,5/14/2016
291,410,437197742-1,808,12/30/2014,1/13/2015,6/14/2015
292,717,473121408-4,497,5/27/2016,6/10/2016,3/13/2017
293,855,439401658-4,208,6/26/2016,7/10/2016,2/20/2017
294,293,756666006-3,118,7/1/2017,7/15/2017,9/22/2017
295,316,930126287-8,946,5/28/2015,6/11/2015,5/27/2016
296,814,310563909-8,289,12/7/2014,12/21/2014,4/8/2015
297,156,288709172-7,532,7/4/2016,7/18/2016,8/30/2017
298,330,717409602-6,151,10/8/2015,10/22/2015,5/21/2017
299,746,266667389-8,915,12/30/2014,1/13/2015,9/5/2016
300,523,798612828-3,983,3/15/2016,3/29/2016,4/6/2016
301,850,457220975-8,787,10/19/2017,11/2/2017,11/3/2017
302,784,682583188-7,1,2/25/2017,3/11/2017,8/7/2017
303,522,981222515-3,90,4/11/2015,4/25/2015,10/23/2017
304,641,968781087-4,930,7/7/2017,7/21/2017,7/8/2017
305,866,406308938-X,881,11/18/2014,12/2/2014,2/11/2016
306,135,685334562-2,731,9/22/2016,10/6/2016,11/16/2016
307,994,209524392-7,942,12/19/2015,1/2/2016,5/20/2017
308,486,707321575-5,600,6/24/2016,7/8/2016,7/21/2017
309,322,525910693-8,526,2/24/2015,3/10/2015,8/31/2015
310,372,905948499-1,911,5/27/2017,6/10/2017,10/11/2017
311,426,212308901-X,758,2/27/2015,3/13/2015,11/2/2017
312,916,167030029-3,538,9/20/2015,10/4/2015,12/30/2016
313,902,410916880-5,880,2/21/2017,3/7/2017,5/13/2017
314,396,342035760-5,206,4/18/2015,5/2/2015,11/9/2017
315,763,947792584-5,219,10/25/2015,11/8/2015,5/7/2016
316,971,568901524-5,567,8/5/2015,8/19/2015,1/6/2017
317,332,964341355-1,385,8/5/2017,8/19/2017,8/20/2017
318,474,946529463-2,318,7/29/2015,8/12/2015,8/13/2016
319,872,014898061-9,618,11/17/2015,12/1/2015,4/4/2017
320,486,486525624-5,283,11/3/2015,11/17/2015,10/11/2016
321,956,425146192-4,747,5/30/2015,6/13/2015,7/9/2015
322,608,072275777-8,338,12/13/2014,12/27/2014,4/19/2017
323,298,951373496-X,235,7/21/2015,8/4/2015,12/2/2016
324,366,314900508-6,930,5/11/2016,5/25/2016,8/5/2016
325,152,839388292-3,152,6/2/2015,6/16/2015,8/5/2017
326,504,808543900-X,179,10/3/2017,10/17/2017,10/25/2017
327,504,883329359-9,671,10/20/2017,11/3/2017,11/3/2017
328,350,230281925-X,159,7/21/2017,8/4/2017,9/8/2017
329,578,770838202-5,473,7/5/2017,7/19/2017,11/4/2017
330,17,813070367-X,24,7/3/2016,7/17/2016,7/2/2017
331,860,798734810-4,393,8/6/2017,8/20/2017,9/26/2017
332,132,001230724-6,320,10/14/2017,10/28/2017,10/19/2017
333,232,289049763-1,658,7/10/2017,7/24/2017,8/20/2017
334,995,721916419-X,733,5/1/2016,5/15/2016,2/22/2017
335,347,564186715-2,349,10/13/2016,10/27/2016,8/25/2017
336,346,274907511-4,975,4/22/2015,5/6/2015,8/17/2016
337,747,676599877-2,715,5/18/2017,6/1/2017,8/27/2017
338,206,539611794-X,199,7/14/2015,7/28/2015,8/29/2016
339,45,441175305-7,24,8/15/2017,8/29/2017,9/28/2017
340,552,151933310-2,185,9/16/2015,9/30/2015,11/17/2015
341,80,929422840-1,520,8/22/2017,9/5/2017,8/25/2017
342,206,696514265-0,55,5/30/2017,6/13/2017,10/17/2017
343,744,512771687-9,952,8/18/2017,9/1/2017,11/2/2017
344,917,318223614-8,178,3/13/2017,3/27/2017,7/5/2017
345,930,554384480-8,282,3/31/2015,4/14/2015,6/22/2016
346,563,104107499-9,228,11/2/2015,11/16/2015,11/2/2016
347,599,147769466-8,20,11/9/2015,11/23/2015,12/12/2016
348,427,643807818-2,285,12/11/2015,12/25/2015,10/24/2016
349,252,215932109-5,19,10/15/2016,10/29/2016,12/8/2016
350,935,721332777-1,138,6/19/2017,7/3/2017,7/16/2017
351,472,711978335-1,293,5/27/2017,6/10/2017,8/15/2017
352,192,528057008-7,640,12/22/2015,1/5/2016,8/18/2016
353,495,997703576-8,527,2/9/2015,2/23/2015,6/20/2015
354,403,605482059-1,822,4/26/2017,5/10/2017,8/5/2017
355,990,302056378-X,398,9/3/2017,9/17/2017,9/25/2017
356,298,154985459-3,520,9/16/2016,9/30/2016,1/11/2017
357,761,932155974-4,204,8/4/2017,8/18/2017,9/5/2017
358,424,893409665-9,225,12/6/2016,12/20/2016,4/27/2017
359,492,812015200-X,363,7/6/2016,7/20/2016,9/12/2016
360,120,297074089-3,262,9/12/2015,9/26/2015,9/30/2016
361,575,474603810-4,334,8/4/2017,8/18/2017,9/21/2017
362,647,249776414-X,640,2/20/2016,3/5/2016,1/24/2017
363,491,936054605-4,433,8/5/2015,8/19/2015,6/5/2016
364,384,785007849-7,709,6/19/2015,7/3/2015,4/13/2017
365,351,585441344-2,226,7/30/2015,8/13/2015,9/28/2017
366,956,321049535-1,36,2/25/2015,3/11/2015,10/21/2017
367,870,357450068-8,653,5/27/2017,6/10/2017,10/26/2017
368,979,272153202-2,510,9/21/2017,10/5/2017,10/14/2017
369,271,556227816-2,719,3/3/2015,3/17/2015,2/10/2017
370,581,230895132-X,300,9/3/2016,9/17/2016,10/23/2016
371,874,704586923-1,811,2/11/2016,2/25/2016,3/14/2017
372,960,704303590-2,536,7/30/2017,8/13/2017,8/2/2017
373,804,447667553-0,246,6/27/2015,7/11/2015,2/10/2016
374,41,291152108-0,748,12/27/2015,1/10/2016,1/19/2017
375,812,134035376-8,356,7/27/2017,8/10/2017,10/19/2017
376,533,123437620-2,904,3/9/2015,3/23/2015,10/31/2015
377,453,062382241-5,393,9/23/2015,10/7/2015,8/25/2016
378,291,492266776-8,33,6/5/2017,6/19/2017,7/5/2017
379,640,439776511-1,197,4/30/2015,5/14/2015,3/14/2017
380,145,946900193-1,792,5/28/2017,6/11/2017,11/10/2017
381,219,688869546-8,675,1/22/2017,2/5/2017,1/31/2017
382,198,757341554-0,499,7/26/2017,8/9/2017,8/5/2017
383,674,087586375-2,177,10/19/2017,11/2/2017,11/16/2017
384,571,368032481-2,339,9/19/2017,10/3/2017,10/15/2017
385,393,613015466-6,632,1/8/2016,1/22/2016,11/6/2017
386,221,103833116-1,760,1/8/2015,1/22/2015,10/15/2017
387,602,489853526-7,430,1/30/2015,2/13/2015,1/13/2017
388,118,834383556-5,406,10/12/2015,10/26/2015,1/3/2017
389,752,206338997-7,217,1/18/2015,2/1/2015,4/21/2016
390,355,347158133-2,61,11/23/2016,12/7/2016,6/26/2017
391,147,681036139-1,751,2/3/2015,2/17/2015,9/29/2017
392,548,085773996-4,195,8/20/2015,9/3/2015,6/29/2017
393,246,873316681-1,541,8/9/2017,8/23/2017,8/26/2017
394,135,933189123-7,439,6/4/2015,6/18/2015,4/19/2016
395,173,769134337-X,320,8/4/2017,8/18/2017,8/18/2017
396,816,790231340-8,404,8/6/2016,8/20/2016,9/3/2016
397,673,213831710-2,858,11/13/2015,11/27/2015,11/16/2017
398,819,903389257-X,813,11/18/2014,12/2/2014,2/15/2017
399,526,319645893-8,392,6/7/2016,6/21/2016,11/25/2016
400,383,286158662-1,793,8/13/2015,8/27/2015,5/19/2016
401,8,539162378-2,299,5/1/2017,5/15/2017,6/5/2017
402,411,099114888-6,638,9/15/2016,9/29/2016,8/2/2017
403,466,042407099-5,392,12/18/2015,1/1/2016,6/12/2017
404,663,632819276-2,702,11/19/2015,12/3/2015,9/1/2016
405,966,150929734-0,688,3/28/2016,4/11/2016,7/13/2017
406,274,168688522-9,89,8/25/2016,9/8/2016,10/18/2017
407,439,371772175-5,784,5/7/2016,5/21/2016,8/1/2016
408,58,951035507-0,887,6/6/2015,6/20/2015,2/12/2017
409,870,201852463-1,143,12/28/2015,1/11/2016,5/1/2017
410,596,164037856-1,825,8/18/2017,9/1/2017,10/10/2017
411,191,583104589-7,848,7/15/2016,7/29/2016,7/1/2017
412,350,563019178-0,528,9/17/2017,10/1/2017,10/15/2017
413,367,649386381-3,653,10/9/2017,10/23/2017,11/10/2017
414,878,452639713-X,572,10/19/2015,11/2/2015,3/12/2016
415,859,663072294-9,989,11/10/2016,11/24/2016,3/16/2017
416,368,713368116-1,563,9/19/2017,10/3/2017,9/29/2017
417,494,295931860-9,427,3/19/2017,4/2/2017,4/25/2017
418,658,833918752-X,475,11/26/2016,12/10/2016,8/30/2017
419,812,507657153-4,893,12/9/2015,12/23/2015,7/2/2016
420,850,095788723-X,14,10/22/2017,11/5/2017,11/14/2017
421,430,479136626-3,392,11/18/2016,12/2/2016,9/7/2017
